==== START logs for container controller of pod ingress-nginx/ingress-controller-ingress-nginx-controller-585d79996-9ncg7 ====
-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       1.1.1-20220413170248-b60724ed1
2022-07-14T00:25:41.433854Z	info	Proxy role	ips=[10.244.0.16 fe80::64ee:cfff:feed:abea] type=sidecar id=ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx domain=ingress-nginx.svc.cluster.local
2022-07-14T00:25:41.433959Z	info	Apply proxy config from env {}

2022-07-14T00:25:41.435049Z	info	Effective config: binaryPath: /usr/local/bin/envoy
concurrency: 2
configPath: ./etc/istio/proxy
controlPlaneAuthPolicy: MUTUAL_TLS
discoveryAddress: istiod.istio-system.svc:15012
drainDuration: 45s
parentShutdownDuration: 60s
proxyAdminPort: 15000
serviceCluster: istio-proxy
statNameLength: 189
statusPort: 15020
terminationDrainDuration: 5s
tracing:
  zipkin:
    address: zipkin.istio-system:9411

2022-07-14T00:25:41.435115Z	info	JWT policy is third-party-jwt
2022-07-14T00:25:41.459116Z	info	CA Endpoint istiod.istio-system.svc:15012, provider Citadel
2022-07-14T00:25:41.459199Z	info	Using CA istiod.istio-system.svc:15012 cert with certs: var/run/secrets/istio/root-cert.pem
2022-07-14T00:25:41.459231Z	info	Opening status port 15020
2022-07-14T00:25:41.459348Z	info	citadelclient	Citadel client using custom root cert: var/run/secrets/istio/root-cert.pem
2022-07-14T00:25:41.477420Z	info	ads	All caches have been synced up in 49.195415ms, marking server ready
2022-07-14T00:25:41.477983Z	info	sds	SDS server for workload certificates started, listening on "etc/istio/proxy/SDS"
2022-07-14T00:25:41.478030Z	info	xdsproxy	Initializing with upstream address "istiod.istio-system.svc:15012" and cluster "Kubernetes"
2022-07-14T00:25:41.478134Z	info	sds	Starting SDS grpc server
2022-07-14T00:25:41.478713Z	info	starting Http service at 127.0.0.1:15004
2022-07-14T00:25:41.480813Z	info	Pilot SAN: [istiod.istio-system.svc]
2022-07-14T00:25:41.482811Z	info	Starting proxy agent
2022-07-14T00:25:41.482878Z	info	Epoch 0 starting
2022-07-14T00:25:41.482912Z	info	Envoy command: [-c etc/istio/proxy/envoy-rev0.json --restart-epoch 0 --drain-time-s 45 --drain-strategy immediate --parent-shutdown-time-s 60 --local-address-ip-version v4 --file-flush-interval-msec 1000 --disable-hot-restart --log-format %Y-%m-%dT%T.%fZ	%l	envoy %n	%v -l warning --component-log-level misc:error --concurrency 2]
2022-07-14T00:25:41.627544Z	info	cache	generated new workload certificate	latency=149.744578ms ttl=23h59m59.372475218s
2022-07-14T00:25:41.627606Z	info	cache	Root cert has changed, start rotating root cert
2022-07-14T00:25:41.627633Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:0 Version:
2022-07-14T00:25:41.627715Z	info	cache	returned workload trust anchor from cache	ttl=23h59m59.372289548s
2022-07-14T00:25:42.117405Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T00:25:42.393343Z	info	ads	ADS: new connection for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx-1
2022-07-14T00:25:42.393492Z	info	cache	returned workload trust anchor from cache	ttl=23h59m58.606514534s
2022-07-14T00:25:42.393863Z	info	ads	SDS: PUSH request for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:2.0kB resource:ROOTCA
2022-07-14T00:25:42.433346Z	info	ads	ADS: new connection for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx-2
2022-07-14T00:25:42.433496Z	info	cache	returned workload certificate from cache	ttl=23h59m58.566513674s
2022-07-14T00:25:42.433689Z	info	ads	SDS: PUSH request for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-14T00:25:43.963148Z	info	Readiness succeeded in 2.533001193s
2022-07-14T00:25:43.963701Z	info	Envoy proxy is ready
2022-07-14T00:54:27.163421Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T01:25:08.351652Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T01:55:16.460891Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T02:26:46.188860Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T02:56:36.073122Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T03:27:13.089890Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T03:59:28.430155Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T04:30:29.139982Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T05:01:13.926580Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T05:29:56.817666Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T05:57:07.849463Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T06:24:36.142800Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T06:57:13.002355Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T07:26:39.123923Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T07:59:47.360503Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T08:28:08.838152Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T09:00:46.737376Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T09:31:20.298365Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T10:00:36.778372Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T10:31:03.729030Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T11:00:57.448631Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T11:33:38.294244Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T12:02:21.360840Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T12:25:41.314460Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-14T12:25:41.425949Z	info	cache	generated new workload certificate	latency=110.76075ms ttl=23h59m59.574061704s
2022-07-14T12:25:41.426048Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-14T12:30:56.800592Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T12:58:43.308644Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T13:28:50.432300Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T14:00:48.917565Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T14:29:35.294125Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T14:56:50.897835Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T15:27:17.155040Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T16:00:14.641847Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T16:32:47.575099Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T17:04:48.410880Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T17:35:07.822398Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T18:07:36.365270Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T18:37:33.457354Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T19:09:40.428396Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T19:38:51.395124Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T20:09:04.804026Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T20:36:36.266423Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T21:09:25.001492Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T21:40:43.132301Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T22:11:04.493753Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T22:38:40.436301Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T23:06:12.242532Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-14T23:38:03.557329Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T00:10:28.840196Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T00:25:41.213730Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-15T00:25:41.420567Z	info	cache	generated new workload certificate	latency=206.080119ms ttl=23h59m59.579444436s
2022-07-15T00:25:41.420704Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-15T00:41:46.070746Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T01:09:45.319371Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T01:40:36.713020Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T02:12:55.226130Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T02:43:13.543946Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T03:12:05.125701Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T03:44:37.381784Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T04:13:07.446743Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T04:42:39.157541Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T05:10:40.812948Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T05:42:00.884610Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T06:09:59.658349Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T06:38:43.024696Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T07:10:47.427782Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T07:39:50.274823Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T08:12:58.249896Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T08:45:34.607269Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T09:13:33.875022Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T09:44:23.159233Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T10:13:08.852058Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T10:45:43.551551Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T11:13:32.296595Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T11:46:40.804138Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T12:15:40.764606Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T12:25:41.211177Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-15T12:25:41.351293Z	info	cache	generated new workload certificate	latency=139.354944ms ttl=23h59m59.648718292s
2022-07-15T12:25:41.351404Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-15T12:48:43.984242Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T13:18:03.420691Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T13:49:28.093816Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T14:19:04.731029Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T14:50:35.245561Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T15:17:53.892718Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T15:46:28.713488Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T16:17:45.138900Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T16:47:25.802291Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T17:15:47.973540Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T17:43:32.872421Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T18:15:28.670155Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T18:46:45.218724Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T19:15:54.909798Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T19:43:13.483072Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T20:15:44.847337Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T20:45:02.123671Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T21:16:27.167888Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T21:47:21.498533Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T22:18:54.497252Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T22:46:43.308663Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T23:14:24.242834Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-15T23:45:51.555398Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T00:14:36.624112Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T00:25:41.176887Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-16T00:25:41.693289Z	info	cache	generated new workload certificate	latency=515.651698ms ttl=23h59m59.306722774s
2022-07-16T00:25:41.693389Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-16T00:42:18.548520Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T01:12:47.656450Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T01:41:20.693227Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T02:10:03.487969Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T02:40:21.547629Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T03:12:01.644659Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T03:44:12.478686Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T04:15:12.058498Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T04:46:39.941570Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T05:16:04.792971Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T05:47:37.301030Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T06:18:06.930932Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T06:47:39.335608Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T07:17:28.775595Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T07:45:50.585019Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T08:15:23.712371Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T08:43:28.674300Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T09:15:13.333972Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T09:45:11.431350Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T10:14:15.589197Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T10:46:54.492739Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T11:16:50.683559Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T11:44:16.743021Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T12:13:49.760300Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T12:25:41.347208Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-16T12:25:41.792150Z	info	cache	generated new workload certificate	latency=444.013557ms ttl=23h59m59.207860266s
2022-07-16T12:25:41.792295Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-16T12:41:50.409511Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T13:09:03.327683Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T13:41:37.277870Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T14:11:45.294789Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T14:39:59.329824Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T15:13:07.045320Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T15:46:08.302550Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T16:18:21.434228Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T16:45:32.862448Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T17:15:17.002922Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T17:42:45.330443Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T18:13:31.400533Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T18:44:45.492997Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T19:14:44.961688Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T19:43:15.644800Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T20:13:53.368145Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T20:44:13.631432Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T21:16:19.948200Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T21:49:05.649255Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T22:21:25.537146Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T22:52:40.875190Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T23:21:55.039268Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-16T23:49:57.216255Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T00:19:06.018711Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T00:25:41.397002Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-17T00:25:41.610215Z	info	cache	generated new workload certificate	latency=212.484205ms ttl=23h59m59.389796226s
2022-07-17T00:25:41.610612Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-17T00:49:51.792504Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T01:19:25.733773Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T01:50:18.036493Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T02:19:56.626587Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T02:48:25.262068Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T03:18:01.990164Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T03:47:23.252472Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T04:18:24.068329Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T04:46:20.164668Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T05:14:18.932928Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T05:46:55.391189Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T06:18:25.018331Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T06:46:18.635159Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T07:15:45.407218Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T07:43:22.391122Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T08:14:26.047799Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T08:45:05.354768Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T09:15:18.546196Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T09:43:47.293396Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T10:16:01.903810Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T10:47:02.164462Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T11:18:17.083059Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T11:46:22.078623Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T12:17:51.012590Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T12:25:41.306047Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-17T12:25:41.559036Z	info	cache	generated new workload certificate	latency=252.255463ms ttl=23h59m59.440981226s
2022-07-17T12:25:41.559283Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-17T12:45:57.590867Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T13:16:54.941096Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T13:47:53.418843Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T14:17:33.735774Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T14:47:54.202057Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T15:19:20.880918Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T15:50:39.939848Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T16:20:54.042637Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T16:52:06.116042Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T17:19:34.095156Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T17:50:06.039754Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T18:19:07.737376Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T18:52:07.491371Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T19:19:31.507132Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T19:47:33.630502Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T19:48:44.585057Z	warn	xdsproxy	upstream [183] terminated with unexpected error rpc error: code = Unavailable desc = error reading from server: read tcp 10.244.0.16:51378->10.96.228.115:15012: read: connection reset by peer
2022-07-17T19:48:44.719602Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T20:16:10.987260Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T20:48:13.746548Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T21:17:20.510646Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T21:48:38.016727Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T22:20:01.315216Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T22:47:48.847801Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T23:15:36.095129Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-17T23:48:28.862545Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T00:17:35.692283Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T00:25:41.280487Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-18T00:25:41.409358Z	info	cache	generated new workload certificate	latency=127.962192ms ttl=23h59m59.590652702s
2022-07-18T00:25:41.409481Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-18T00:45:53.952496Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T01:16:20.324351Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
